"surveyDataYear","nPos","nNeg","nTotal","propPos","polySuffix","polyName"
2004,0,21,21,0,"mask_uga_grid_0","2004_mask_uga_grid_0"
2006,0,19,19,0,"mask_uga_grid_0","2006_mask_uga_grid_0"
2008,0,12,12,0,"mask_uga_grid_0","2008_mask_uga_grid_0"
2010,0,16,16,0,"mask_uga_grid_0","2010_mask_uga_grid_0"
2004,0,39,39,0,"mask_uga_grid_1","2004_mask_uga_grid_1"
2006,0,39,39,0,"mask_uga_grid_1","2006_mask_uga_grid_1"
2008,0,28,28,0,"mask_uga_grid_1","2008_mask_uga_grid_1"
2010,0,25,25,0,"mask_uga_grid_1","2010_mask_uga_grid_1"
2004,0,3,3,0,"mask_uga_grid_10","2004_mask_uga_grid_10"
2010,0,2,2,0,"mask_uga_grid_10","2010_mask_uga_grid_10"
2004,0,67,67,0,"mask_uga_grid_11","2004_mask_uga_grid_11"
2005,1,28,29,0.0344827586206897,"mask_uga_grid_11","2005_mask_uga_grid_11"
2006,4,74,78,0.0512820512820513,"mask_uga_grid_11","2006_mask_uga_grid_11"
2007,2,53,55,0.0363636363636364,"mask_uga_grid_11","2007_mask_uga_grid_11"
2008,1,47,48,0.0208333333333333,"mask_uga_grid_11","2008_mask_uga_grid_11"
2009,8,53,61,0.131147540983607,"mask_uga_grid_11","2009_mask_uga_grid_11"
2010,8,88,96,0.0833333333333333,"mask_uga_grid_11","2010_mask_uga_grid_11"
2004,0,38,38,0,"mask_uga_grid_12","2004_mask_uga_grid_12"
2005,0,38,38,0,"mask_uga_grid_12","2005_mask_uga_grid_12"
2006,0,21,21,0,"mask_uga_grid_12","2006_mask_uga_grid_12"
2007,0,19,19,0,"mask_uga_grid_12","2007_mask_uga_grid_12"
2008,0,44,44,0,"mask_uga_grid_12","2008_mask_uga_grid_12"
2009,1,36,37,0.027027027027027,"mask_uga_grid_12","2009_mask_uga_grid_12"
2010,3,52,55,0.0545454545454545,"mask_uga_grid_12","2010_mask_uga_grid_12"
2004,0,27,27,0,"mask_uga_grid_13","2004_mask_uga_grid_13"
2005,0,41,41,0,"mask_uga_grid_13","2005_mask_uga_grid_13"
2007,0,21,21,0,"mask_uga_grid_13","2007_mask_uga_grid_13"
2008,0,42,42,0,"mask_uga_grid_13","2008_mask_uga_grid_13"
2009,1,8,9,0.111111111111111,"mask_uga_grid_13","2009_mask_uga_grid_13"
2010,2,34,36,0.0555555555555556,"mask_uga_grid_13","2010_mask_uga_grid_13"
2008,0,14,14,0,"mask_uga_grid_14","2008_mask_uga_grid_14"
2010,0,30,30,0,"mask_uga_grid_14","2010_mask_uga_grid_14"
2004,0,45,45,0,"mask_uga_grid_16","2004_mask_uga_grid_16"
2005,2,11,13,0.153846153846154,"mask_uga_grid_16","2005_mask_uga_grid_16"
2006,0,22,22,0,"mask_uga_grid_16","2006_mask_uga_grid_16"
2007,0,19,19,0,"mask_uga_grid_16","2007_mask_uga_grid_16"
2008,4,21,25,0.16,"mask_uga_grid_16","2008_mask_uga_grid_16"
2009,20,40,60,0.333333333333333,"mask_uga_grid_16","2009_mask_uga_grid_16"
2010,26,47,73,0.356164383561644,"mask_uga_grid_16","2010_mask_uga_grid_16"
2004,0,108,108,0,"mask_uga_grid_17","2004_mask_uga_grid_17"
2005,0,175,175,0,"mask_uga_grid_17","2005_mask_uga_grid_17"
2006,0,23,23,0,"mask_uga_grid_17","2006_mask_uga_grid_17"
2007,1,85,86,0.0116279069767442,"mask_uga_grid_17","2007_mask_uga_grid_17"
2008,1,54,55,0.0181818181818182,"mask_uga_grid_17","2008_mask_uga_grid_17"
2009,11,70,81,0.135802469135802,"mask_uga_grid_17","2009_mask_uga_grid_17"
2010,23,72,95,0.242105263157895,"mask_uga_grid_17","2010_mask_uga_grid_17"
2004,0,20,20,0,"mask_uga_grid_18","2004_mask_uga_grid_18"
2005,0,31,31,0,"mask_uga_grid_18","2005_mask_uga_grid_18"
2007,0,2,2,0,"mask_uga_grid_18","2007_mask_uga_grid_18"
2008,0,31,31,0,"mask_uga_grid_18","2008_mask_uga_grid_18"
2009,0,43,43,0,"mask_uga_grid_18","2009_mask_uga_grid_18"
2010,2,38,40,0.05,"mask_uga_grid_18","2010_mask_uga_grid_18"
2008,0,16,16,0,"mask_uga_grid_19","2008_mask_uga_grid_19"
2009,0,2,2,0,"mask_uga_grid_19","2009_mask_uga_grid_19"
2010,0,11,11,0,"mask_uga_grid_19","2010_mask_uga_grid_19"
2004,0,29,29,0,"mask_uga_grid_21","2004_mask_uga_grid_21"
2007,0,14,14,0,"mask_uga_grid_21","2007_mask_uga_grid_21"
2008,1,13,14,0.0714285714285714,"mask_uga_grid_21","2008_mask_uga_grid_21"
2009,8,17,25,0.32,"mask_uga_grid_21","2009_mask_uga_grid_21"
2010,18,20,38,0.473684210526316,"mask_uga_grid_21","2010_mask_uga_grid_21"
2004,0,21,21,0,"mask_uga_grid_22","2004_mask_uga_grid_22"
2005,0,17,17,0,"mask_uga_grid_22","2005_mask_uga_grid_22"
2007,3,33,36,0.0833333333333333,"mask_uga_grid_22","2007_mask_uga_grid_22"
2008,1,13,14,0.0714285714285714,"mask_uga_grid_22","2008_mask_uga_grid_22"
2009,16,43,59,0.271186440677966,"mask_uga_grid_22","2009_mask_uga_grid_22"
2010,5,4,9,0.555555555555556,"mask_uga_grid_22","2010_mask_uga_grid_22"
2009,0,4,4,0,"mask_uga_grid_23","2009_mask_uga_grid_23"
2004,0,35,35,0,"mask_uga_grid_5","2004_mask_uga_grid_5"
2006,0,40,40,0,"mask_uga_grid_5","2006_mask_uga_grid_5"
2008,0,11,11,0,"mask_uga_grid_5","2008_mask_uga_grid_5"
2010,0,3,3,0,"mask_uga_grid_5","2010_mask_uga_grid_5"
2004,0,19,19,0,"mask_uga_grid_6","2004_mask_uga_grid_6"
2005,0,5,5,0,"mask_uga_grid_6","2005_mask_uga_grid_6"
2006,0,17,17,0,"mask_uga_grid_6","2006_mask_uga_grid_6"
2008,0,11,11,0,"mask_uga_grid_6","2008_mask_uga_grid_6"
2010,0,27,27,0,"mask_uga_grid_6","2010_mask_uga_grid_6"
2004,0,40,40,0,"mask_uga_grid_7","2004_mask_uga_grid_7"
2005,0,38,38,0,"mask_uga_grid_7","2005_mask_uga_grid_7"
2006,0,39,39,0,"mask_uga_grid_7","2006_mask_uga_grid_7"
2008,0,21,21,0,"mask_uga_grid_7","2008_mask_uga_grid_7"
2009,0,7,7,0,"mask_uga_grid_7","2009_mask_uga_grid_7"
2010,1,57,58,0.0172413793103448,"mask_uga_grid_7","2010_mask_uga_grid_7"
2004,0,44,44,0,"mask_uga_grid_8","2004_mask_uga_grid_8"
2008,0,27,27,0,"mask_uga_grid_8","2008_mask_uga_grid_8"
2010,0,48,48,0,"mask_uga_grid_8","2010_mask_uga_grid_8"
2004,0,20,20,0,"mask_uga_grid_9","2004_mask_uga_grid_9"
2008,0,53,53,0,"mask_uga_grid_9","2008_mask_uga_grid_9"
2010,0,63,63,0,"mask_uga_grid_9","2010_mask_uga_grid_9"
2004,0,483,483,0,"mask_uga_hole","2004_mask_uga_hole"
2005,0,340,340,0,"mask_uga_hole","2005_mask_uga_hole"
2006,0,188,188,0,"mask_uga_hole","2006_mask_uga_hole"
2007,3,156,159,0.0188679245283019,"mask_uga_hole","2007_mask_uga_hole"
2008,5,396,401,0.0124688279301746,"mask_uga_hole","2008_mask_uga_hole"
2009,44,255,299,0.147157190635452,"mask_uga_hole","2009_mask_uga_hole"
2010,57,548,605,0.0942148760330579,"mask_uga_hole","2010_mask_uga_hole"
2004,0,92,92,0,"mask_uga_kam","2004_mask_uga_kam"
2005,3,44,47,0.0638297872340425,"mask_uga_kam","2005_mask_uga_kam"
2006,4,106,110,0.0363636363636364,"mask_uga_kam","2006_mask_uga_kam"
2007,3,90,93,0.032258064516129,"mask_uga_kam","2007_mask_uga_kam"
2008,3,61,64,0.046875,"mask_uga_kam","2008_mask_uga_kam"
2009,21,68,89,0.235955056179775,"mask_uga_kam","2009_mask_uga_kam"
2010,30,89,119,0.252100840336134,"mask_uga_kam","2010_mask_uga_kam"
