"surveyDataYear","nPos","nNeg","nTotal","propPos","polySuffix","polyName"
2004,0,21,21,0,"mask_uga_grid_0","2004_mask_uga_grid_0"
2006,0,19,19,0,"mask_uga_grid_0","2006_mask_uga_grid_0"
2008,0,12,12,0,"mask_uga_grid_0","2008_mask_uga_grid_0"
2010,0,16,16,0,"mask_uga_grid_0","2010_mask_uga_grid_0"
2004,0,39,39,0,"mask_uga_grid_1","2004_mask_uga_grid_1"
2006,0,39,39,0,"mask_uga_grid_1","2006_mask_uga_grid_1"
2008,0,28,28,0,"mask_uga_grid_1","2008_mask_uga_grid_1"
2010,0,25,25,0,"mask_uga_grid_1","2010_mask_uga_grid_1"
2004,0,3,3,0,"mask_uga_grid_10","2004_mask_uga_grid_10"
2010,0,2,2,0,"mask_uga_grid_10","2010_mask_uga_grid_10"
2004,0,67,67,0,"mask_uga_grid_11","2004_mask_uga_grid_11"
2005,2,27,29,0.0689655172413793,"mask_uga_grid_11","2005_mask_uga_grid_11"
2006,3,75,78,0.0384615384615385,"mask_uga_grid_11","2006_mask_uga_grid_11"
2007,4,51,55,0.0727272727272727,"mask_uga_grid_11","2007_mask_uga_grid_11"
2008,3,45,48,0.0625,"mask_uga_grid_11","2008_mask_uga_grid_11"
2009,4,57,61,0.0655737704918033,"mask_uga_grid_11","2009_mask_uga_grid_11"
2010,16,80,96,0.166666666666667,"mask_uga_grid_11","2010_mask_uga_grid_11"
2004,0,38,38,0,"mask_uga_grid_12","2004_mask_uga_grid_12"
2005,0,38,38,0,"mask_uga_grid_12","2005_mask_uga_grid_12"
2006,0,21,21,0,"mask_uga_grid_12","2006_mask_uga_grid_12"
2007,0,19,19,0,"mask_uga_grid_12","2007_mask_uga_grid_12"
2008,0,44,44,0,"mask_uga_grid_12","2008_mask_uga_grid_12"
2009,1,36,37,0.027027027027027,"mask_uga_grid_12","2009_mask_uga_grid_12"
2010,3,52,55,0.0545454545454545,"mask_uga_grid_12","2010_mask_uga_grid_12"
2004,0,27,27,0,"mask_uga_grid_13","2004_mask_uga_grid_13"
2005,0,41,41,0,"mask_uga_grid_13","2005_mask_uga_grid_13"
2007,0,21,21,0,"mask_uga_grid_13","2007_mask_uga_grid_13"
2008,0,42,42,0,"mask_uga_grid_13","2008_mask_uga_grid_13"
2009,1,8,9,0.111111111111111,"mask_uga_grid_13","2009_mask_uga_grid_13"
2010,5,31,36,0.138888888888889,"mask_uga_grid_13","2010_mask_uga_grid_13"
2008,0,14,14,0,"mask_uga_grid_14","2008_mask_uga_grid_14"
2010,0,30,30,0,"mask_uga_grid_14","2010_mask_uga_grid_14"
2004,0,45,45,0,"mask_uga_grid_16","2004_mask_uga_grid_16"
2005,1,12,13,0.0769230769230769,"mask_uga_grid_16","2005_mask_uga_grid_16"
2006,0,22,22,0,"mask_uga_grid_16","2006_mask_uga_grid_16"
2007,0,19,19,0,"mask_uga_grid_16","2007_mask_uga_grid_16"
2008,10,15,25,0.4,"mask_uga_grid_16","2008_mask_uga_grid_16"
2009,25,35,60,0.416666666666667,"mask_uga_grid_16","2009_mask_uga_grid_16"
2010,32,41,73,0.438356164383562,"mask_uga_grid_16","2010_mask_uga_grid_16"
2004,0,108,108,0,"mask_uga_grid_17","2004_mask_uga_grid_17"
2005,0,175,175,0,"mask_uga_grid_17","2005_mask_uga_grid_17"
2006,0,23,23,0,"mask_uga_grid_17","2006_mask_uga_grid_17"
2007,1,85,86,0.0116279069767442,"mask_uga_grid_17","2007_mask_uga_grid_17"
2008,2,53,55,0.0363636363636364,"mask_uga_grid_17","2008_mask_uga_grid_17"
2009,13,68,81,0.160493827160494,"mask_uga_grid_17","2009_mask_uga_grid_17"
2010,29,66,95,0.305263157894737,"mask_uga_grid_17","2010_mask_uga_grid_17"
2004,0,20,20,0,"mask_uga_grid_18","2004_mask_uga_grid_18"
2005,0,31,31,0,"mask_uga_grid_18","2005_mask_uga_grid_18"
2007,0,2,2,0,"mask_uga_grid_18","2007_mask_uga_grid_18"
2008,0,31,31,0,"mask_uga_grid_18","2008_mask_uga_grid_18"
2009,0,43,43,0,"mask_uga_grid_18","2009_mask_uga_grid_18"
2010,1,39,40,0.025,"mask_uga_grid_18","2010_mask_uga_grid_18"
2008,0,16,16,0,"mask_uga_grid_19","2008_mask_uga_grid_19"
2009,0,2,2,0,"mask_uga_grid_19","2009_mask_uga_grid_19"
2010,0,11,11,0,"mask_uga_grid_19","2010_mask_uga_grid_19"
2004,0,29,29,0,"mask_uga_grid_21","2004_mask_uga_grid_21"
2007,1,13,14,0.0714285714285714,"mask_uga_grid_21","2007_mask_uga_grid_21"
2008,2,12,14,0.142857142857143,"mask_uga_grid_21","2008_mask_uga_grid_21"
2009,11,14,25,0.44,"mask_uga_grid_21","2009_mask_uga_grid_21"
2010,22,16,38,0.578947368421053,"mask_uga_grid_21","2010_mask_uga_grid_21"
2004,0,21,21,0,"mask_uga_grid_22","2004_mask_uga_grid_22"
2005,0,17,17,0,"mask_uga_grid_22","2005_mask_uga_grid_22"
2007,0,36,36,0,"mask_uga_grid_22","2007_mask_uga_grid_22"
2008,0,14,14,0,"mask_uga_grid_22","2008_mask_uga_grid_22"
2009,16,43,59,0.271186440677966,"mask_uga_grid_22","2009_mask_uga_grid_22"
2010,3,6,9,0.333333333333333,"mask_uga_grid_22","2010_mask_uga_grid_22"
2009,0,4,4,0,"mask_uga_grid_23","2009_mask_uga_grid_23"
2004,0,35,35,0,"mask_uga_grid_5","2004_mask_uga_grid_5"
2006,0,40,40,0,"mask_uga_grid_5","2006_mask_uga_grid_5"
2008,0,11,11,0,"mask_uga_grid_5","2008_mask_uga_grid_5"
2010,0,3,3,0,"mask_uga_grid_5","2010_mask_uga_grid_5"
2004,0,19,19,0,"mask_uga_grid_6","2004_mask_uga_grid_6"
2005,0,5,5,0,"mask_uga_grid_6","2005_mask_uga_grid_6"
2006,0,17,17,0,"mask_uga_grid_6","2006_mask_uga_grid_6"
2008,0,11,11,0,"mask_uga_grid_6","2008_mask_uga_grid_6"
2010,0,27,27,0,"mask_uga_grid_6","2010_mask_uga_grid_6"
2004,0,40,40,0,"mask_uga_grid_7","2004_mask_uga_grid_7"
2005,0,38,38,0,"mask_uga_grid_7","2005_mask_uga_grid_7"
2006,0,39,39,0,"mask_uga_grid_7","2006_mask_uga_grid_7"
2008,0,21,21,0,"mask_uga_grid_7","2008_mask_uga_grid_7"
2009,0,7,7,0,"mask_uga_grid_7","2009_mask_uga_grid_7"
2010,0,58,58,0,"mask_uga_grid_7","2010_mask_uga_grid_7"
2004,0,44,44,0,"mask_uga_grid_8","2004_mask_uga_grid_8"
2008,0,27,27,0,"mask_uga_grid_8","2008_mask_uga_grid_8"
2010,2,46,48,0.0416666666666667,"mask_uga_grid_8","2010_mask_uga_grid_8"
2004,0,20,20,0,"mask_uga_grid_9","2004_mask_uga_grid_9"
2008,0,53,53,0,"mask_uga_grid_9","2008_mask_uga_grid_9"
2010,0,63,63,0,"mask_uga_grid_9","2010_mask_uga_grid_9"
2004,0,483,483,0,"mask_uga_hole","2004_mask_uga_hole"
2005,0,340,340,0,"mask_uga_hole","2005_mask_uga_hole"
2006,0,188,188,0,"mask_uga_hole","2006_mask_uga_hole"
2007,1,158,159,0.00628930817610063,"mask_uga_hole","2007_mask_uga_hole"
2008,10,391,401,0.0249376558603491,"mask_uga_hole","2008_mask_uga_hole"
2009,55,244,299,0.183946488294314,"mask_uga_hole","2009_mask_uga_hole"
2010,73,532,605,0.120661157024793,"mask_uga_hole","2010_mask_uga_hole"
2004,0,92,92,0,"mask_uga_kam","2004_mask_uga_kam"
2005,3,44,47,0.0638297872340425,"mask_uga_kam","2005_mask_uga_kam"
2006,3,107,110,0.0272727272727273,"mask_uga_kam","2006_mask_uga_kam"
2007,5,88,93,0.0537634408602151,"mask_uga_kam","2007_mask_uga_kam"
2008,7,57,64,0.109375,"mask_uga_kam","2008_mask_uga_kam"
2009,16,73,89,0.179775280898876,"mask_uga_kam","2009_mask_uga_kam"
2010,39,80,119,0.327731092436975,"mask_uga_kam","2010_mask_uga_kam"
